"email","password","name","description","active","total_transaction_sum"
"0test@test.test","$2a$12$UV9/SOcfiRRxZyMB/cTWFu55I44wn9ulMGEP/ogJiwo9dWbe.7bUK","","","",""
"1test@test.test","$2a$12$p.sUqLRKxRD5si6TOr739eFypqs1bCMdbNZsSAHu5yA/TLmrB9uTy","","","",""
"2test@test.test","$2a$12$bIEYvK5NBauSo7UVMYtfGuheeuj8FHLCaJ2yOUqm5z1yaeg5wmXkm","","","",""
"3test@test.test","$2a$12$OYaPeC7h7a6D9Zfq.mKRm..6rM/tbpNE/i26uJi2VVC9fN7ylUddq","merchant 3","description 3","false","3"
"4test@test.test","$2a$12$YRdqiou5E5miiZdvj4Ea8O.5bIJ9YOT767CyKHsBtHjCoDZy0foFm","","","",""
"5test@test.test","$2a$12$1dyIOHaOtsw7PHBMkfDnuemauvu7yI4wDTSy4G.1P4tRVvsSRMtki","","","",""
"6test@test.test","$2a$12$90D3XUnnpDr6nLLWB1yWDu/AMNDBHuVW1XdOWfMUhFmbedfJfpG6m","","","",""
"7test@test.test","$2a$12$uEEhlvNbsZc770vNwxv9zukPY1PI3Q4H68mzxiHQRgmSAhTwqof8W","merchant 7","description 7","false","7"
"8test@test.test","$2a$12$bEU//GHK0gmcuS/NsWnJyOhy6hFqDsi17A21k7CQ5MgFfDsOHqVUm","","","",""
"9test@test.test","$2a$12$.V9ldWsFK.L5AQMGCUTopO7bt2ZypEoT6oa5WLLC9oT8/oriDyL46","merchant 9","description 9","false","9"
"10test@test.test","$2a$12$nq4BBqZJ7/hiLY98xtOfouE97GPnYw2xw8H/8DHn8/W7DWB/96BxC","merchant 10","description 10","false","10"
"11test@test.test","$2a$12$pv9AReoNYIovV9bz7IP5yuYHAuQO8RtJwHFN7s7R2PyssFN3AP2yO","merchant 11","description 11","true","11"
"12test@test.test","$2a$12$v8PsVBvZKAG3kPqJpql1yOBno6TkSwZWEIOS64R0GKv214T7ZUlHm","merchant 12","description 12","false","12"
"13test@test.test","$2a$12$2xSG9nOPf/NKlJzntxH0HOt4TIqezsT5xaNgSqoF1QeFGy7g5KwB.","merchant 13","description 13","false","13"
"14test@test.test","$2a$12$LB.CB.CYyIvn2rAc5kq6cuc8rNfKtt.R31hcFnM89pS8RgDqf4Y1a","merchant 14","description 14","true","14"
"15test@test.test","$2a$12$tEBClHihEdf.20YIfMy.OenEgznQUQ3noclp.emgZSMqcDvDEZMRu","merchant 15","description 15","true","15"
"16test@test.test","$2a$12$e/pEBhE2BHg8VWM/UbNsMOFDvUds5Zz771tvQlPIzft0labqCO2Ge","","","",""
"17test@test.test","$2a$12$PTwGEKFiV2Cb8aQEnB1Gq.fuMD5nKfhepDlSLRDTGd2/BHf6mdwQi","merchant 17","description 17","true","17"
"18test@test.test","$2a$12$DV5anSfQ1QL7itnVn52K2.Uk.AatNkLWkajtPYQM3PCg2DA6XKI6K","","","",""
"19test@test.test","$2a$12$eU6oG3X7OLZVE9BlsbD.1eHqjUfQydX6snLXRrX8oK8WOFzQKydpS","merchant 19","description 19","false","19"
"20test@test.test","$2a$12$Tu/jbwVA3bChtBIqQm888OGS5UXvxTLHPsOhV1xeo44.BNLZMKNM6","","","",""
"21test@test.test","$2a$12$FFZ8cuqvx/eOyxJ1kxhdQ.8mUR6jPjD7qh1WBdh28kHM2JRNOnoUO","merchant 21","description 21","true","21"
"22test@test.test","$2a$12$7cEM1yA75GlBa8H0NXXGt.a.EcJDN8c.MlO7hJgDmSXr94.qJEKW.","merchant 22","description 22","false","22"
"23test@test.test","$2a$12$VHAFUgZVUv7IKoStAmVpGu.CsV4iWlU/G4iYlaa7IB37kki5pstdK","merchant 23","description 23","true","23"
"24test@test.test","$2a$12$nb4JZWiTeBYELpMX6dF4YuFXb042OhsShvjNhKmvjP3uub0Y8ow2O","merchant 24","description 24","true","24"
